algo,timingFullProtocol,timingSendAppData,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
Kyber512,214.075297,214.075071,0.020718,0.880817,0.020718
Kyber512,213.686499,213.686230,0.017759,0.923829,0.017759
Kyber512,214.577189,214.576972,0.020699,0.957558,0.020699
Kyber512,214.576047,214.575830,0.041486,0.929046,0.041486
Kyber512,214.287687,214.287459,0.022328,0.954910,0.022328
Kyber512,213.826924,213.826710,0.017404,0.896021,0.017404
Kyber512,214.058828,214.058524,0.022330,0.939407,0.022330
Kyber512,214.526844,214.526626,0.022502,0.985778,0.022502
Kyber512,213.908253,213.907944,0.013614,0.959336,0.013614
Kyber512,214.811815,214.811503,0.013528,0.894254,0.013528
Kyber512,214.482038,214.481734,0.018848,0.924934,0.018848
Kyber512,214.496383,214.496146,0.018403,1.046025,0.018403
Kyber512,214.682733,214.682456,0.014570,0.901739,0.014570
Kyber512,215.093713,215.093450,0.021303,0.915506,0.021303
Kyber512,214.441336,214.441034,0.022717,0.875836,0.022717
Kyber512,214.198086,214.197790,0.014608,0.899433,0.014608
Kyber512,213.987641,213.987404,0.023546,1.058196,0.023546
Kyber512,215.059005,215.058687,0.023824,0.992479,0.023824
Kyber512,215.131885,215.131594,0.013464,0.964666,0.013464
Kyber512,214.626710,214.626411,0.023537,0.910658,0.023537
Kyber512,214.127195,214.126952,0.012035,0.907723,0.012035
Kyber512,214.196669,214.196360,0.012745,0.912640,0.012745
Kyber512,215.108320,215.108050,0.019958,0.996765,0.019958
Kyber512,213.650165,213.649849,0.038116,0.899341,0.038116
Kyber512,214.662748,214.662244,0.013739,0.931413,0.013739
Kyber512,214.505698,214.505375,0.013770,0.966102,0.013770
Kyber512,214.067935,214.067645,0.016233,1.225906,0.016233
Kyber512,214.208090,214.207795,0.016252,1.051363,0.016252
Kyber512,214.160576,214.160282,0.014419,0.889199,0.014419
Kyber512,214.150664,214.150340,0.018087,0.897875,0.018087
Kyber512,214.370401,214.370082,0.016634,1.054849,0.016634
Kyber512,214.462202,214.461879,0.024084,0.903699,0.024084
Kyber512,214.044200,214.043924,0.019414,0.894588,0.019414
Kyber512,214.902353,214.901958,0.015185,0.897481,0.015185
Kyber512,213.503322,213.502998,0.015334,0.854943,0.015334
Kyber512,214.116375,214.116068,0.020059,0.899024,0.020059
Kyber512,214.414502,214.414267,0.028297,0.932465,0.028297
Kyber512,214.146262,214.145946,0.016849,0.904524,0.016849
Kyber512,214.848074,214.847854,0.019650,0.900718,0.019650
Kyber512,214.448245,214.447930,0.018656,0.934870,0.018656
Kyber512,214.467218,214.466901,0.013944,0.848794,0.013944
Kyber512,214.559924,214.559576,0.019148,0.873299,0.019148
Kyber512,214.299139,214.298856,0.025977,0.930193,0.025977
Kyber512,214.538702,214.538415,0.023194,0.878242,0.023194
Kyber512,214.502059,214.501752,0.021208,0.960990,0.021208
Kyber512,213.968607,213.968394,0.018807,0.883510,0.018807
Kyber512,214.457029,214.456789,0.021777,0.884343,0.021777
Kyber512,214.312776,214.312454,0.022879,1.049415,0.022879
Kyber512,214.442900,214.442570,0.017056,0.916856,0.017056
Kyber512,214.291817,214.291501,0.022875,0.921495,0.022875
Kyber512,214.966702,214.966378,0.012145,0.876610,0.012145
Kyber512,214.434085,214.433806,0.022690,1.197586,0.022690
Kyber512,214.411634,214.411312,0.014908,0.886439,0.014908
Kyber512,214.004584,214.004363,0.021243,0.883153,0.021243
Kyber512,214.479555,214.479244,0.023442,0.865363,0.023442
Kyber512,214.935375,214.935044,0.012624,0.890003,0.012624
Kyber512,214.500941,214.500698,0.021586,0.881420,0.021586
Kyber512,214.510768,214.510441,0.017527,0.933804,0.017527
Kyber512,213.813560,213.813245,0.016535,0.905995,0.016535
Kyber512,214.309614,214.309377,0.024035,0.865651,0.024035
Kyber512,214.299686,214.299379,0.012495,0.939221,0.012495
Kyber512,214.272547,214.272224,0.017465,1.050361,0.017465
Kyber512,214.656600,214.656377,0.021204,1.076178,0.021204
Kyber512,224.243002,224.242712,0.032793,0.945762,0.032793
Kyber512,214.542811,214.542570,0.011705,0.908559,0.011705
Kyber512,213.916956,213.916727,0.017142,0.957030,0.017142
Kyber512,215.368792,215.368495,0.020772,1.262205,0.020772
Kyber512,214.601164,214.600857,0.018887,0.920375,0.018887
Kyber512,214.924173,214.923946,0.011710,0.921367,0.011710
Kyber512,214.590203,214.589800,0.020094,0.933353,0.020094
Kyber512,214.277487,214.277173,0.020108,0.915788,0.020108
Kyber512,214.099193,214.098955,0.012586,1.094072,0.012586
Kyber512,214.453350,214.453007,0.013568,1.148042,0.013568
Kyber512,214.705628,214.705348,0.016235,1.125712,0.016235
Kyber512,213.757165,213.756875,0.012882,0.902193,0.012882
Kyber512,213.957568,213.957248,0.017548,0.891138,0.017548
Kyber512,214.094402,214.094096,0.019276,0.994660,0.019276
Kyber512,214.021370,214.021052,0.022745,0.914351,0.022745
Kyber512,214.586323,214.586093,0.024781,0.913262,0.024781
Kyber512,214.449979,214.449703,0.014731,0.860651,0.014731
Kyber512,214.157034,214.156800,0.012914,0.900611,0.012914
Kyber512,214.470650,214.470338,0.024218,0.914655,0.024218
Kyber512,214.467011,214.466787,0.023687,0.913955,0.023687
Kyber512,214.511589,214.511275,0.016896,0.967081,0.016896
Kyber512,214.484527,214.484294,0.015790,0.937193,0.015790
Kyber512,213.746489,213.746254,0.020099,0.858670,0.020099
