algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
Kyber512,427.553693,0.015935,0.198690,0.015935
Kyber512,427.136092,0.016152,0.120262,0.016152
Kyber512,425.739055,0.017746,0.227163,0.017746
Kyber512,425.962177,0.016977,0.134096,0.016977
Kyber512,426.395397,0.013585,0.121235,0.013585
Kyber512,426.039612,0.013732,0.117460,0.013732
Kyber512,427.037369,0.014250,0.138225,0.014250
Kyber512,426.490893,0.013780,0.124336,0.013780
Kyber512,426.230299,0.010604,0.153799,0.010604
Kyber512,426.449697,0.017389,0.137910,0.017389
Kyber512,427.013409,0.014785,0.122760,0.014785
Kyber512,425.763073,0.016973,0.119060,0.016973
Kyber512,425.969266,0.014060,0.120737,0.014060
Kyber512,426.310579,0.016189,0.139538,0.016189
Kyber512,425.262532,0.017190,0.124921,0.017190
Kyber512,426.672996,0.016947,0.131584,0.016947
Kyber512,426.444893,0.013933,0.128461,0.013933
Kyber512,425.721976,0.017953,0.127450,0.017953
Kyber512,427.133477,0.010001,0.129067,0.010001
Kyber512,426.647577,0.018238,0.181304,0.018238
Kyber512,426.723082,0.010011,0.141479,0.010011
Kyber512,426.460619,0.013316,0.151584,0.013316
Kyber512,426.217349,0.015991,0.122372,0.015991
Kyber512,426.759673,0.010022,0.113890,0.010022
Kyber512,427.473233,0.013855,0.123224,0.013855
Kyber512,427.443626,0.015111,0.122512,0.015111
Kyber512,427.423043,0.016696,0.154893,0.016696
Kyber512,426.065154,0.016789,0.119360,0.016789
Kyber512,426.276937,0.015477,0.114071,0.015477
Kyber512,425.981909,0.013237,0.118785,0.013237
Kyber512,426.509282,0.015017,0.193925,0.015017
Kyber512,426.080325,0.013558,0.139296,0.013558
Kyber512,426.609765,0.066748,0.128084,0.066748
Kyber512,426.004141,0.018272,0.128446,0.018272
Kyber512,426.599278,0.016432,0.123916,0.016432
Kyber512,427.430683,0.016572,0.118736,0.016572
Kyber512,427.019626,0.013434,0.122531,0.013434
Kyber512,427.098225,0.013186,0.124749,0.013186
Kyber512,427.190637,0.015648,0.146694,0.015648
Kyber512,427.615321,0.013788,0.180874,0.013788
Kyber512,431.856471,0.014610,0.123484,0.014610
Kyber512,426.106712,0.014601,0.124436,0.014601
Kyber512,425.959840,0.014961,0.134811,0.014961
Kyber512,427.126945,0.014567,0.130185,0.014567
Kyber512,425.436097,0.014740,0.126005,0.014740
Kyber512,426.248839,0.017479,0.160920,0.017479
Kyber512,426.521552,0.017669,0.126888,0.017669
Kyber512,426.822598,0.013650,0.129961,0.013650
Kyber512,426.272285,0.013906,0.128254,0.013906
Kyber512,425.608158,0.017947,0.120698,0.017947
Kyber512,426.897517,0.017526,0.136354,0.017526
Kyber512,426.782322,0.016602,0.162982,0.016602
Kyber512,426.507145,0.010937,0.149684,0.010937
Kyber512,426.916425,0.016295,0.122209,0.016295
