KEXAlgo,authAlgo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256_Kyber512,P256_Dilithium2,214.957552,0.015536,0.155707
P256_Kyber512,P256_Dilithium2,216.185537,0.012438,0.154106
P256_Kyber512,P256_Dilithium2,215.735031,0.015392,0.150861
P256_Kyber512,P256_Dilithium2,214.718123,0.017550,0.164035
P256_Kyber512,P256_Dilithium2,214.676830,0.020910,0.157176
P256_Kyber512,P256_Dilithium2,215.592028,0.018402,0.153445
P256_Kyber512,P256_Dilithium2,215.342286,0.012994,0.172835
P256_Kyber512,P256_Dilithium2,216.281100,0.013892,0.184803
P256_Kyber512,P256_Dilithium2,215.248850,0.011519,0.168130
P256_Kyber512,P256_Dilithium2,214.948658,0.012938,0.159546
P256_Kyber512,P256_Dilithium2,215.074705,0.015921,0.160051
P256_Kyber512,P256_Dilithium2,215.774883,0.014189,0.174355
P256_Kyber512,P256_Dilithium2,215.433806,0.015333,0.162110
P256_Kyber512,P256_Dilithium2,215.160123,0.009858,0.171833
P256_Kyber512,P256_Dilithium2,215.494036,0.014329,0.152067
P256_Kyber512,P256_Dilithium2,217.098919,0.016393,0.166084
P256_Kyber512,P256_Dilithium2,215.564855,0.014964,0.161543
P256_Kyber512,P256_Dilithium2,214.763428,0.012646,0.152941
P256_Kyber512,P256_Dilithium2,215.207141,0.020197,0.153459
P256_Kyber512,P256_Dilithium2,215.283434,0.017220,0.155622
P256_Kyber512,P256_Dilithium2,214.833376,0.016788,0.152081
P256_Kyber512,P256_Dilithium2,215.913252,0.011606,0.172162
P256_Kyber512,P256_Dilithium2,215.213139,0.014800,0.184756
P256_Kyber512,P256_Dilithium2,214.762561,0.015665,0.164292
P256_Kyber512,P256_Dilithium2,214.926766,0.014945,0.185249
P256_Kyber512,P256_Dilithium2,215.430432,0.009484,0.172381
P256_Kyber512,P256_Dilithium2,214.825047,0.017119,0.164756
P256_Kyber512,P256_Dilithium2,215.415458,0.018810,0.157989
P256_Kyber512,P256_Dilithium2,215.507753,0.016062,0.169059
P256_Kyber512,P256_Dilithium2,215.305986,0.011318,0.170521
P256_Kyber512,P256_Dilithium2,215.494098,0.013234,0.288832
P256_Kyber512,P256_Dilithium2,215.639452,0.014275,0.158282
P256_Kyber512,P256_Dilithium2,214.860668,0.011397,0.159447
P256_Kyber512,P256_Dilithium2,214.903125,0.015730,0.168805
P256_Kyber512,P256_Dilithium2,220.518269,0.016014,0.164858
P256_Kyber512,P256_Dilithium2,216.483673,0.016528,0.157356
P256_Kyber512,P256_Dilithium2,215.609000,0.014241,0.167535
P256_Kyber512,P256_Dilithium2,215.220968,0.015322,0.173155
P256_Kyber512,P256_Dilithium2,214.679301,0.012946,0.150223
P256_Kyber512,P256_Dilithium2,215.187067,0.015454,0.168523
P256_Kyber512,P256_Dilithium2,215.161550,0.016480,0.157999
P256_Kyber512,P256_Dilithium2,215.278469,0.016781,0.166714
P256_Kyber512,P256_Dilithium2,215.097525,0.009443,0.173796
P256_Kyber512,P256_Dilithium2,215.831043,0.016217,0.185680
P256_Kyber512,P256_Dilithium2,214.641363,0.012082,0.185250
P256_Kyber512,P256_Dilithium2,215.071151,0.009330,0.153780
P256_Kyber512,P256_Dilithium2,214.903061,0.014991,0.154158
P256_Kyber512,P256_Dilithium2,215.168032,0.013364,0.133863
P256_Kyber512,P256_Dilithium2,215.270678,0.012903,0.169593
P256_Kyber512,P256_Dilithium2,215.241622,0.016515,0.159103
P256_Kyber512,P256_Dilithium2,215.066308,0.016584,0.155279
P256_Kyber512,P256_Dilithium2,215.011809,0.015211,0.176110
P256_Kyber512,P256_Dilithium2,215.523479,0.010653,0.166374
P256_Kyber512,P256_Dilithium2,214.987893,0.015810,0.162096
P256_Kyber512,P256_Dilithium2,214.867832,0.017602,0.152071
P256_Kyber512,P256_Dilithium2,215.206979,0.015570,0.163876
P256_Kyber512,P256_Dilithium2,215.289650,0.017103,0.162361
P256_Kyber512,P256_Dilithium2,214.759270,0.014125,0.158966
P256_Kyber512,P256_Dilithium2,214.648831,0.018272,0.171546
P256_Kyber512,P256_Dilithium2,215.357078,0.014375,0.203486
P256_Kyber512,P256_Dilithium2,216.863098,0.009566,0.152023
P256_Kyber512,P256_Dilithium2,215.157985,0.019542,0.189514
P256_Kyber512,P256_Dilithium2,214.803024,0.015142,0.179568
P256_Kyber512,P256_Dilithium2,215.563578,0.012587,0.151985
P256_Kyber512,P256_Dilithium2,215.261053,0.015994,0.197121
P256_Kyber512,P256_Dilithium2,215.183109,0.016613,0.159179
P256_Kyber512,P256_Dilithium2,215.451968,0.015903,0.206442
P256_Kyber512,P256_Dilithium2,215.375625,0.015162,0.181713
P256_Kyber512,P256_Dilithium2,214.935771,0.016646,0.161876
P256_Kyber512,P256_Dilithium2,214.802196,0.015351,0.164104
P256_Kyber512,P256_Dilithium2,215.134147,0.012893,0.147538
P256_Kyber512,P256_Dilithium2,215.401159,0.015935,0.150180
P256_Kyber512,P256_Dilithium2,220.189154,0.021153,0.157819
P256_Kyber512,P256_Dilithium2,215.041830,0.016924,0.159250
P256_Kyber512,P256_Dilithium2,215.767948,0.012560,0.173053
P256_Kyber512,P256_Dilithium2,215.315714,0.014108,0.183341
P256_Kyber512,P256_Dilithium2,215.350799,0.015231,0.237034
P256_Kyber512,P256_Dilithium2,215.308852,0.012367,0.166067
P256_Kyber512,P256_Dilithium2,215.440070,0.008698,0.194741
P256_Kyber512,P256_Dilithium2,215.752487,0.014285,0.169306
P256_Kyber512,P256_Dilithium2,215.223455,0.017211,0.160608
P256_Kyber512,P256_Dilithium2,214.629003,0.014318,0.153599
P256_Kyber512,P256_Dilithium2,214.849824,0.013858,0.161985
P256_Kyber512,P256_Dilithium2,215.075516,0.019193,0.161113
P256_Kyber512,P256_Dilithium2,214.956212,0.016301,0.158237
P256_Kyber512,P256_Dilithium2,215.725741,0.017562,0.156596
P256_Kyber512,P256_Dilithium2,214.998744,0.015280,0.246579
P256_Kyber512,P256_Dilithium2,214.775915,0.014162,0.160901
P256_Kyber512,P256_Dilithium2,214.643906,0.015117,0.153550
P256_Kyber512,P256_Dilithium2,215.622432,0.012905,0.163885
P256_Kyber512,P256_Dilithium2,215.647644,0.010689,0.154543
P256_Kyber512,P256_Dilithium2,215.393785,0.016097,0.181573
P256_Kyber512,P256_Dilithium2,215.109506,0.016293,0.160462
P256_Kyber512,P256_Dilithium2,215.347588,0.009680,0.185917
P256_Kyber512,P256_Dilithium2,215.751856,0.016438,0.175545
P256_Kyber512,P256_Dilithium2,215.803928,0.014166,0.211488
P256_Kyber512,P256_Dilithium2,214.947796,0.012855,0.182398
P256_Kyber512,P256_Dilithium2,214.894587,0.019742,0.151935
P256_Kyber512,P256_Dilithium2,215.155389,0.016752,0.254862
P256_Kyber512,P256_Dilithium2,214.990399,0.010244,0.138325
P256_Kyber512,P256_Dilithium2,215.062616,0.012619,0.162114
P256_Kyber512,P256_Dilithium2,215.447656,0.016531,0.165791
P256_Kyber512,P256_Dilithium2,215.021458,0.012486,0.188251
P256_Kyber512,P256_Dilithium2,214.936115,0.016502,0.171550
P256_Kyber512,P256_Dilithium2,214.999922,0.014924,0.265442
P256_Kyber512,P256_Dilithium2,215.177714,0.015456,0.159629
P256_Kyber512,P256_Dilithium2,215.217251,0.013397,0.159594
P256_Kyber512,P256_Dilithium2,215.249334,0.016962,0.196681
P256_Kyber512,P256_Dilithium2,215.215542,0.012227,0.155205
P256_Kyber512,P256_Dilithium2,215.368758,0.015473,0.156119
P256_Kyber512,P256_Dilithium2,215.022481,0.011143,0.144240
P256_Kyber512,P256_Dilithium2,215.196015,0.016709,0.153987
P256_Kyber512,P256_Dilithium2,215.453193,0.009019,0.146040
P256_Kyber512,P256_Dilithium2,215.828506,0.012343,0.167296
P256_Kyber512,P256_Dilithium2,215.075689,0.012950,0.174002
P256_Kyber512,P256_Dilithium2,215.401266,0.017204,0.165902
P256_Kyber512,P256_Dilithium2,214.785087,0.013983,0.191529
P256_Kyber512,P256_Dilithium2,215.001100,0.013801,0.176239
P256_Kyber512,P256_Dilithium2,215.467654,0.016989,0.155467
P256_Kyber512,P256_Dilithium2,215.365804,0.009815,0.145864
P256_Kyber512,P256_Dilithium2,215.443663,0.015797,0.226876
P256_Kyber512,P256_Dilithium2,214.568171,0.013053,0.175137
P256_Kyber512,P256_Dilithium2,215.380071,0.016086,0.152340
P256_Kyber512,P256_Dilithium2,215.005871,0.012974,0.156160
P256_Kyber512,P256_Dilithium2,215.676932,0.014317,0.164698
P256_Kyber512,P256_Dilithium2,214.729427,0.012539,0.170064
P256_Kyber512,P256_Dilithium2,215.423837,0.015571,0.165474
P256_Kyber512,P256_Dilithium2,215.785655,0.011903,0.154395
P256_Kyber512,P256_Dilithium2,214.605326,0.013960,0.160049
P256_Kyber512,P256_Dilithium2,215.465879,0.009585,0.174819
P256_Kyber512,P256_Dilithium2,215.384957,0.016762,0.249077
P256_Kyber512,P256_Dilithium2,215.643570,0.014631,0.202286
P256_Kyber512,P256_Dilithium2,215.894044,0.014333,0.172836
P256_Kyber512,P256_Dilithium2,215.379145,0.009981,0.153447
P256_Kyber512,P256_Dilithium2,215.450710,0.012027,0.185196
P256_Kyber512,P256_Dilithium2,214.946764,0.017445,0.174186
P256_Kyber512,P256_Dilithium2,215.065366,0.012644,0.155468
P256_Kyber512,P256_Dilithium2,215.037638,0.017206,0.155222
P256_Kyber512,P256_Dilithium2,214.784961,0.014404,0.157056
P256_Kyber512,P256_Dilithium2,214.925217,0.016179,0.194558
P256_Kyber512,P256_Dilithium2,215.273524,0.015359,0.189903
P256_Kyber512,P256_Dilithium2,215.301453,0.017637,0.160896
P256_Kyber512,P256_Dilithium2,214.990673,0.011502,0.155432
P256_Kyber512,P256_Dilithium2,215.125353,0.014245,0.158553
P256_Kyber512,P256_Dilithium2,215.378310,0.014439,0.179379
P256_Kyber512,P256_Dilithium2,215.567246,0.016399,0.143545
P256_Kyber512,P256_Dilithium2,215.224557,0.012855,0.158474
P256_Kyber512,P256_Dilithium2,216.373786,0.016726,0.155480
P256_Kyber512,P256_Dilithium2,215.555755,0.008672,0.165119
P256_Kyber512,P256_Dilithium2,215.829763,0.013884,0.196033
P256_Kyber512,P256_Dilithium2,215.663280,0.016744,0.173526
P256_Kyber512,P256_Dilithium2,215.325945,0.015926,0.156604
P256_Kyber512,P256_Dilithium2,215.655788,0.015822,0.193055
P256_Kyber512,P256_Dilithium2,215.282684,0.009202,0.215147
P256_Kyber512,P256_Dilithium2,225.730217,0.015984,0.201719
P256_Kyber512,P256_Dilithium2,215.281745,0.016465,0.186656
P256_Kyber512,P256_Dilithium2,215.422941,0.015623,0.160203
