KEXAlgo,authAlgo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256_Kyber512,P256_Dilithium2,215.406121,0.012054,0.188763
P256_Kyber512,P256_Dilithium2,214.400280,0.016983,0.162346
P256_Kyber512,P256_Dilithium2,214.945198,0.011782,0.265778
P256_Kyber512,P256_Dilithium2,214.329206,0.015053,0.168049
P256_Kyber512,P256_Dilithium2,214.876307,0.013301,0.174617
P256_Kyber512,P256_Dilithium2,214.638139,0.015143,0.162748
P256_Kyber512,P256_Dilithium2,214.202124,0.012063,0.167131
P256_Kyber512,P256_Dilithium2,215.081007,0.013459,0.172251
P256_Kyber512,P256_Dilithium2,214.533896,0.012011,0.166095
P256_Kyber512,P256_Dilithium2,214.616573,0.016453,0.164649
P256_Kyber512,P256_Dilithium2,214.727175,0.014923,0.188955
P256_Kyber512,P256_Dilithium2,214.151694,0.023690,0.174187
P256_Kyber512,P256_Dilithium2,214.892393,0.014976,0.170448
P256_Kyber512,P256_Dilithium2,214.858734,0.013977,0.164939
P256_Kyber512,P256_Dilithium2,215.083423,0.015293,0.162634
P256_Kyber512,P256_Dilithium2,215.275082,0.014213,0.170214
P256_Kyber512,P256_Dilithium2,214.816790,0.013704,0.165995
P256_Kyber512,P256_Dilithium2,214.880036,0.014740,0.235744
P256_Kyber512,P256_Dilithium2,214.327732,0.013337,0.189552
P256_Kyber512,P256_Dilithium2,215.337283,0.012649,0.178512
P256_Kyber512,P256_Dilithium2,214.728655,0.016409,0.172366
P256_Kyber512,P256_Dilithium2,214.487760,0.017564,0.189742
P256_Kyber512,P256_Dilithium2,214.128117,0.014356,0.166131
P256_Kyber512,P256_Dilithium2,214.898397,0.012913,0.186550
P256_Kyber512,P256_Dilithium2,215.130397,0.013953,0.175333
P256_Kyber512,P256_Dilithium2,214.522732,0.014293,0.162088
P256_Kyber512,P256_Dilithium2,214.338595,0.010107,0.182821
P256_Kyber512,P256_Dilithium2,214.291393,0.010807,0.167280
P256_Kyber512,P256_Dilithium2,214.543978,0.015396,0.184908
P256_Kyber512,P256_Dilithium2,214.877898,0.016259,0.197361
P256_Kyber512,P256_Dilithium2,214.417697,0.013960,0.174925
P256_Kyber512,P256_Dilithium2,214.993865,0.011993,0.175230
P256_Kyber512,P256_Dilithium2,214.243762,0.013359,0.166014
P256_Kyber512,P256_Dilithium2,214.747531,0.018897,0.159628
P256_Kyber512,P256_Dilithium2,215.248276,0.012182,0.164564
P256_Kyber512,P256_Dilithium2,214.238302,0.011682,0.165412
P256_Kyber512,P256_Dilithium2,215.324002,0.018162,0.197178
P256_Kyber512,P256_Dilithium2,214.511122,0.015326,0.192580
P256_Kyber512,P256_Dilithium2,214.712938,0.015538,0.170258
P256_Kyber512,P256_Dilithium2,214.932871,0.011287,0.284148
P256_Kyber512,P256_Dilithium2,214.968243,0.013570,0.181811
P256_Kyber512,P256_Dilithium2,214.766385,0.013944,0.157992
P256_Kyber512,P256_Dilithium2,214.951241,0.015630,0.320734
P256_Kyber512,P256_Dilithium2,215.157117,0.015849,0.166332
P256_Kyber512,P256_Dilithium2,215.165044,0.013406,0.166501
P256_Kyber512,P256_Dilithium2,215.613872,0.016018,0.169732
P256_Kyber512,P256_Dilithium2,214.790896,0.014844,0.169221
P256_Kyber512,P256_Dilithium2,214.497209,0.009603,0.198226
P256_Kyber512,P256_Dilithium2,214.826824,0.012154,0.154211
P256_Kyber512,P256_Dilithium2,214.517200,0.018793,0.168137
P256_Kyber512,P256_Dilithium2,215.442753,0.013701,0.211118
P256_Kyber512,P256_Dilithium2,214.294379,0.013050,0.175298
P256_Kyber512,P256_Dilithium2,214.367473,0.012474,0.165961
P256_Kyber512,P256_Dilithium2,214.885445,0.010426,0.219891
P256_Kyber512,P256_Dilithium2,214.726872,0.016159,0.174346
P256_Kyber512,P256_Dilithium2,215.001131,0.011810,0.193215
P256_Kyber512,P256_Dilithium2,214.900171,0.009332,0.182086
P256_Kyber512,P256_Dilithium2,215.073115,0.015996,0.157553
P256_Kyber512,P256_Dilithium2,214.602627,0.017774,0.194702
P256_Kyber512,P256_Dilithium2,215.047823,0.014253,0.173379
P256_Kyber512,P256_Dilithium2,214.935686,0.012630,0.181559
P256_Kyber512,P256_Dilithium2,214.853822,0.045236,0.172524
P256_Kyber512,P256_Dilithium2,214.180613,0.017791,0.158063
P256_Kyber512,P256_Dilithium2,214.101502,0.016733,0.167537
P256_Kyber512,P256_Dilithium2,214.786885,0.018739,0.154836
P256_Kyber512,P256_Dilithium2,214.820405,0.015006,0.154051
P256_Kyber512,P256_Dilithium2,215.319148,0.016367,0.154893
P256_Kyber512,P256_Dilithium2,214.782505,0.013910,0.175897
P256_Kyber512,P256_Dilithium2,214.607286,0.012448,0.164667
P256_Kyber512,P256_Dilithium2,214.293425,0.017791,0.162857
P256_Kyber512,P256_Dilithium2,214.296081,0.014270,0.153932
P256_Kyber512,P256_Dilithium2,215.585962,0.012245,0.362043
P256_Kyber512,P256_Dilithium2,214.310531,0.010976,0.210375
P256_Kyber512,P256_Dilithium2,215.170786,0.017883,0.154352
P256_Kyber512,P256_Dilithium2,215.014399,0.016795,0.164797
P256_Kyber512,P256_Dilithium2,214.289101,0.010057,0.256014
P256_Kyber512,P256_Dilithium2,214.694371,0.010640,0.199862
P256_Kyber512,P256_Dilithium2,215.198500,0.010708,0.317437
P256_Kyber512,P256_Dilithium2,214.828512,0.015652,0.170159
P256_Kyber512,P256_Dilithium2,215.170697,0.013668,0.177333
P256_Kyber512,P256_Dilithium2,215.195905,0.014908,0.184903
P256_Kyber512,P256_Dilithium2,214.953356,0.014305,0.185486
P256_Kyber512,P256_Dilithium2,214.699345,0.014901,0.181516
