algo,timingFullProtocol,timingSendAppData,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
Kyber512,431.381032,216.759342,0.016787,0.145729,0.016787
Kyber512,434.725759,218.709403,0.012372,0.139138,0.012372
Kyber512,433.350445,218.035646,0.014591,0.120233,0.014591
Kyber512,433.181208,218.156078,0.012910,0.144605,0.012910
Kyber512,433.628519,218.395885,0.014821,0.121468,0.014821
Kyber512,431.910962,217.043225,0.016922,0.150628,0.016922
Kyber512,432.616814,217.633681,0.045605,0.119257,0.045605
Kyber512,432.436118,217.291341,0.015842,0.125830,0.015842
Kyber512,432.183871,217.173775,0.014675,0.137842,0.014675
Kyber512,433.148684,218.186422,0.018043,0.154092,0.018043
Kyber512,431.823543,216.932910,0.017743,0.114082,0.017743
Kyber512,432.727479,217.383532,0.017568,0.130349,0.017568
Kyber512,433.248198,218.177897,0.010835,0.135674,0.010835
Kyber512,432.448314,217.155422,0.015066,0.138770,0.015066
Kyber512,433.297715,218.258076,0.016183,0.158045,0.016183
Kyber512,432.068887,217.592816,0.016363,0.135474,0.016363
Kyber512,432.852264,217.372637,0.009898,0.146920,0.009898
Kyber512,432.163328,217.020759,0.016130,0.150864,0.016130
Kyber512,432.740774,217.358159,0.009969,0.132727,0.009969
Kyber512,432.446945,217.194274,0.036524,0.120967,0.036524
Kyber512,434.378082,218.676869,0.010865,0.126567,0.010865
Kyber512,431.070154,216.586720,0.014769,0.125562,0.014769
Kyber512,433.733389,218.462057,0.014617,0.125018,0.014617
Kyber512,431.359227,216.789497,0.014593,0.134662,0.014593
Kyber512,431.993887,217.542347,0.012889,0.128410,0.012889
Kyber512,432.794011,217.303773,0.018144,0.127256,0.018144
Kyber512,430.976657,216.543779,0.017874,0.116259,0.017874
Kyber512,433.345086,218.184746,0.014267,0.127496,0.014267
Kyber512,432.569203,217.271045,0.011808,0.135458,0.011808
Kyber512,431.295566,216.773852,0.014028,0.217228,0.014028
Kyber512,433.189117,218.156018,0.010951,0.136859,0.010951
Kyber512,431.742785,216.920668,0.014766,0.120684,0.014766
Kyber512,433.044831,217.672547,0.018750,0.119579,0.018750
Kyber512,432.294322,217.297812,0.013378,0.151845,0.013378
Kyber512,433.748423,218.327761,0.013855,0.149528,0.013855
Kyber512,433.550517,218.478771,0.014397,0.145167,0.014397
Kyber512,431.450961,216.848400,0.012881,0.124672,0.012881
Kyber512,433.573819,218.293541,0.010135,0.119911,0.010135
Kyber512,434.185359,218.663109,0.014401,0.121208,0.014401
Kyber512,432.251655,217.281394,0.011982,0.132242,0.011982
Kyber512,433.546094,218.123131,0.014893,0.119598,0.014893
Kyber512,432.769480,217.578231,0.010853,0.129632,0.010853
Kyber512,431.675244,216.703885,0.014127,0.145189,0.014127
Kyber512,434.287580,218.740866,0.011060,0.128175,0.011060
Kyber512,431.235906,216.754631,0.015644,0.185695,0.015644
Kyber512,432.673428,217.875864,0.014085,0.124840,0.014085
Kyber512,431.062648,216.627407,0.013192,0.154284,0.013192
Kyber512,432.133589,217.139886,0.015288,0.117921,0.015288
Kyber512,434.610048,218.871650,0.013297,0.122311,0.013297
Kyber512,433.005460,218.092795,0.016823,0.121760,0.016823
Kyber512,432.719147,217.858518,0.014392,0.118506,0.014392
Kyber512,431.859958,216.969451,0.015023,0.128934,0.015023
Kyber512,431.052632,216.547141,0.014146,0.139264,0.014146
Kyber512,432.719359,217.776021,0.017425,0.135870,0.017425
Kyber512,433.703098,218.324508,0.017456,0.115237,0.017456
Kyber512,431.934978,216.918635,0.083953,0.139131,0.083953
Kyber512,432.762540,217.438416,0.013741,0.129000,0.013741
Kyber512,432.882248,218.061605,0.016542,0.131263,0.016542
Kyber512,432.211946,217.054753,0.026073,0.124943,0.026073
Kyber512,432.728506,217.275205,0.009929,0.129313,0.009929
Kyber512,433.514225,218.318465,0.016053,0.126907,0.016053
Kyber512,432.498985,217.309936,0.016233,0.116286,0.016233
Kyber512,432.435439,217.419923,0.013761,0.130489,0.013761
Kyber512,432.003541,216.945190,0.010157,0.121857,0.010157
Kyber512,431.987279,216.992648,0.017548,0.138325,0.017548
Kyber512,431.809968,216.898863,0.012412,0.129689,0.012412
Kyber512,432.442029,217.332331,0.018754,0.127085,0.018754
Kyber512,431.641009,216.840144,0.012110,0.119360,0.012110
Kyber512,432.399778,217.273779,0.017628,0.137751,0.017628
Kyber512,433.471448,218.402845,0.015583,0.143551,0.015583
Kyber512,434.006955,218.782596,0.017391,0.124170,0.017391
Kyber512,431.859576,216.843191,0.009328,0.162593,0.009328
Kyber512,433.612795,218.432933,0.017418,0.129509,0.017418
Kyber512,432.660044,217.882960,0.016055,0.152640,0.016055
Kyber512,433.201991,218.208034,0.011061,0.122563,0.011061
Kyber512,431.862645,216.837741,0.016057,0.165626,0.016057
Kyber512,432.656889,217.350693,0.017307,0.121883,0.017307
Kyber512,432.989960,217.443740,0.017305,0.134922,0.017305
Kyber512,432.501621,217.200029,0.017696,0.122256,0.017696
Kyber512,432.517776,217.841204,0.013495,0.137295,0.013495
Kyber512,432.391102,217.127016,0.014515,0.121858,0.014515
Kyber512,433.158256,218.136136,0.013228,0.159833,0.013228
Kyber512,431.518073,216.827810,0.017899,0.254009,0.017899
Kyber512,432.111221,217.572545,0.016058,0.165796,0.016058
Kyber512,432.716026,217.440363,0.010958,0.115954,0.010958
Kyber512,433.082508,218.098336,0.012917,0.120322,0.012917
