KEXAlgo,authAlgo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256_Kyber512,P256_Dilithium2,217.242045,0.019332,0.172776
P256_Kyber512,P256_Dilithium2,218.509359,0.014143,0.163986
P256_Kyber512,P256_Dilithium2,220.790229,0.010395,0.181046
P256_Kyber512,P256_Dilithium2,217.426859,0.016031,0.175932
P256_Kyber512,P256_Dilithium2,216.872404,0.014096,0.157647
P256_Kyber512,P256_Dilithium2,217.713796,0.013562,0.155682
P256_Kyber512,P256_Dilithium2,216.937823,0.012455,0.188867
P256_Kyber512,P256_Dilithium2,216.587752,0.013132,0.216251
P256_Kyber512,P256_Dilithium2,216.701525,0.015345,0.190355
P256_Kyber512,P256_Dilithium2,217.154766,0.014510,0.188121
P256_Kyber512,P256_Dilithium2,218.127420,0.011626,0.189732
P256_Kyber512,P256_Dilithium2,218.727109,0.013363,0.234446
P256_Kyber512,P256_Dilithium2,216.680180,0.009280,0.164978
P256_Kyber512,P256_Dilithium2,216.873791,0.009503,0.160054
P256_Kyber512,P256_Dilithium2,217.561839,0.014021,0.177310
P256_Kyber512,P256_Dilithium2,217.750208,0.020414,0.171551
P256_Kyber512,P256_Dilithium2,218.504093,0.011993,0.191331
P256_Kyber512,P256_Dilithium2,217.855377,0.010113,0.180000
P256_Kyber512,P256_Dilithium2,218.396540,0.010745,0.260686
P256_Kyber512,P256_Dilithium2,217.474948,0.010594,0.160539
P256_Kyber512,P256_Dilithium2,216.962521,0.015658,0.168360
P256_Kyber512,P256_Dilithium2,217.657189,0.010245,0.246347
P256_Kyber512,P256_Dilithium2,216.796183,0.013261,0.249203
P256_Kyber512,P256_Dilithium2,218.751644,0.012653,0.170484
P256_Kyber512,P256_Dilithium2,217.658932,0.018276,0.178135
P256_Kyber512,P256_Dilithium2,217.330224,0.013636,0.164830
P256_Kyber512,P256_Dilithium2,219.014994,0.015755,0.164495
P256_Kyber512,P256_Dilithium2,217.481592,0.010816,0.169303
P256_Kyber512,P256_Dilithium2,221.488230,0.016841,0.168429
P256_Kyber512,P256_Dilithium2,217.846316,0.010465,0.160316
P256_Kyber512,P256_Dilithium2,218.359053,0.013243,0.168866
P256_Kyber512,P256_Dilithium2,217.147692,0.011994,0.172218
P256_Kyber512,P256_Dilithium2,217.576165,0.013779,0.176127
P256_Kyber512,P256_Dilithium2,218.277389,0.011166,0.159519
P256_Kyber512,P256_Dilithium2,216.813663,0.016566,0.200332
P256_Kyber512,P256_Dilithium2,218.027865,0.009926,0.169033
P256_Kyber512,P256_Dilithium2,218.056582,0.018598,0.142830
P256_Kyber512,P256_Dilithium2,218.625443,0.011893,0.162719
P256_Kyber512,P256_Dilithium2,217.837624,0.013918,0.190707
P256_Kyber512,P256_Dilithium2,216.894673,0.009888,0.219743
P256_Kyber512,P256_Dilithium2,218.545786,0.015553,0.170020
P256_Kyber512,P256_Dilithium2,217.405851,0.014240,0.169933
P256_Kyber512,P256_Dilithium2,218.316475,0.015998,0.173686
P256_Kyber512,P256_Dilithium2,217.103227,0.014957,0.180487
P256_Kyber512,P256_Dilithium2,217.368726,0.032560,0.220085
P256_Kyber512,P256_Dilithium2,218.244255,0.010267,0.175862
P256_Kyber512,P256_Dilithium2,217.921293,0.015038,0.168479
P256_Kyber512,P256_Dilithium2,217.512898,0.025845,0.189046
P256_Kyber512,P256_Dilithium2,218.267226,0.013456,0.178954
P256_Kyber512,P256_Dilithium2,218.245463,0.011160,0.180935
P256_Kyber512,P256_Dilithium2,218.926074,0.014915,0.156272
P256_Kyber512,P256_Dilithium2,217.334916,0.013049,0.162716
P256_Kyber512,P256_Dilithium2,217.687620,0.015237,0.172259
P256_Kyber512,P256_Dilithium2,216.931788,0.013171,0.165427
